POŘADOVÉ_ČÍSLO;NÁZEV_SPOLEČNOSTI;CELKEM_V_KČ
200000;ZCZ;971335
200001;18581928;1846144
200002;Epic Internet a.s.;2648464
200003;GreenStyles.;2164980
200004;BlueNet, s.r.o.;2858192
200005;18581928;247437
200006;92019399;315320
200007;Epic Internet a.s.;687962
200008;Epic Internet a.s.;267896
200009;ZCZ;2938097
200010;Epic Internet a.s.;151097
200011;18581928;2614788
200012;ZCZ;2118084
200013;92019399;1038222
200014;92019399;1793053
200015;67821984;2655651
200016;18581928;1881786
200017;Epic Internet a.s.;2903900
200018;GreenStyles.;2246390
200019;Martin Nový;334464
200020;BlueNet, s.r.o.;2108488
200021;GreenStyles.;2257396
200022;67821984;1266984
200023;67821984;2159176
200024;BlueNet, s.r.o.;1370086
200025;18581928;2732793
200026;BlueNet, s.r.o.;2771186
200027;92019399;1098926
200028;Valza;1695676
200029;Valza;935433
200030;Valza;2771303
200031;Epic Internet a.s.;1145643
200032;Big žirafa s.r.o.;2117547
200033;Valza;2053537
200034;92019399;916686
200035;92019399;2806309
200036;ZCZ;1279397
200037;Big žirafa s.r.o.;1809716
200038;GreenStyles.;833856
200039;GreenStyles.;94919
200040;18581928;440063
200041;BlueNet, s.r.o.;1299167
200042;BlueNet, s.r.o.;697961
200043;Big žirafa s.r.o.;2640676
200044;ZCZ;2388862
200045;ZCZ;237191
200046;Martin Nový;347955
200047;Big žirafa s.r.o.;1134945
200048;Valza;1384651
200049;ZCZ;1836671
200050;67821984;562451
200051;GreenStyles.;1280967
200052;ZCZ;1428445
200053;67821984;2238233
200054;Epic Internet a.s.;98350
200055;Martin Nový;811910
200056;GreenStyles.;474700
200057;BlueNet, s.r.o.;240042
200058;Epic Internet a.s.;2034937
200059;GreenStyles.;599683
200060;ZCZ;977309
200061;18581928;1034015
200062;ZCZ;1567756
200063;Valza;2664327
200064;GreenStyles.;819064
200065;GreenStyles.;2396155
200066;Epic Internet a.s.;1468542
200067;92019399;2126718
200068;BlueNet, s.r.o.;2693164
200069;ZCZ;491071
200070;BlueNet, s.r.o.;254824
200071;Big žirafa s.r.o.;1318846
